DATE,LMO_Detailed_Industry,Employment
1999-09-01,Fabricated metal product manufacturing,11500
1999-09-01,Farms,11500
1999-09-01,Federal government public administration,34000
1999-09-01,Finance,38500
1999-09-01,"Fishing, hunting and trapping",5250
1999-09-01,Food services and drinking places,117750
1999-09-01,"Food, beverage and tobacco manufacturing",2250
1999-09-01,Forestry and logging,24750
1999-09-01,Health and personal care stores,12250
1999-09-01,Heritage institutions,4250
1999-09-01,Hospitals,66000
1999-09-01,Insurance carriers and related activities,21000
1999-09-01,"Legal, accounting, design, research, and advertising services",22000
1999-09-01,Local and Indigenous public administration,1500
1999-09-01,Machinery manufacturing,9500
1999-09-01,"Management, scientific and technical consulting services",19000
1999-09-01,Mining,6750
1999-09-01,Motion picture and sound recording industries,12000
1999-09-01,Motor vehicle and parts dealers,22250
1999-09-01,Nursing and residential care facilities,27750
1999-09-01,Oil and gas extraction,1250
1999-09-01,Other manufacturing,7000
1999-09-01,Other retail trade (excluding cars and personal care) ,13500
1999-09-01,Paper manufacturing,21000
1999-09-01,"Performing arts, spectator sports and related industries",15250
1999-09-01,"Postal service, couriers and messengers",11000
1999-09-01,Primary metal manufacturing,11000
1999-09-01,Private and trades education,750
1999-09-01,Provincial and territorial public administration,25500
1999-09-01,Publishing industries,9750
1999-09-01,Rail transportation,7750
1999-09-01,Real estate rental and leasing,43000
1999-09-01,"Repair, personal and non-profit services",106000
1999-09-01,Ship and boat building,3750
1999-09-01,Social assistance,45750
1999-09-01,Support activities for agriculture and forestry,11750
1999-09-01,Support activities for mining and oil and gas extraction,3500
1999-09-01,Support activities for transportation,18000
1999-09-01,Telecommunications,24750
1999-09-01,"Transit, sightseeing, and pipeline transportation",500
1999-09-01,Transportation equipment manufacturing (excluding shipbuilding),3500
1999-09-01,Truck transportation,28000
1999-09-01,Universities,14000
1999-09-01,Utilities,10500
1999-09-01,Warehousing and storage,4500
1999-09-01,Water transportation,7750
1999-09-01,Wholesale trade,86500
1999-09-01,Wood product manufacturing,49500
1999-10-01,Accommodation services,35250
1999-10-01,Air transportation,23250
1999-10-01,Ambulatory health care services,53250
1999-10-01,"Amusement, gambling and recreation industries",18750
1999-10-01,"Architectural, engineering and related services",22000
1999-10-01,"Broadcasting, data processing, and information",4000
1999-10-01,"Business, building and other support services",59000
1999-10-01,Community colleges,14750
1999-10-01,Computer systems design and related services,26250
1999-10-01,Construction,114000
1999-10-01,Elementary and secondary schools,84750
1999-10-01,Fabricated metal product manufacturing,10750
1999-10-01,Farms,11500
1999-10-01,Federal government public administration,32750
1999-10-01,Finance,37750
1999-10-01,"Fishing, hunting and trapping",4500
1999-10-01,Food services and drinking places,109500
1999-10-01,"Food, beverage and tobacco manufacturing",2500
1999-10-01,Forestry and logging,25500
1999-10-01,Health and personal care stores,13000
1999-10-01,Heritage institutions,2750
1999-10-01,Hospitals,66750
1999-10-01,Insurance carriers and related activities,24750
1999-10-01,"Legal, accounting, design, research, and advertising services",22250
1999-10-01,Local and Indigenous public administration,750
1999-10-01,Machinery manufacturing,8000
1999-10-01,"Management, scientific and technical consulting services",19000
1999-10-01,Mining,7750
1999-10-01,Motion picture and sound recording industries,10500
1999-10-01,Motor vehicle and parts dealers,18500
1999-10-01,Nursing and residential care facilities,28000
1999-10-01,Oil and gas extraction,1000
1999-10-01,Other manufacturing,6750
1999-10-01,Other retail trade (excluding cars and personal care) ,14250
1999-10-01,Paper manufacturing,22500
1999-10-01,"Performing arts, spectator sports and related industries",14250
1999-10-01,"Postal service, couriers and messengers",12750
1999-10-01,Primary metal manufacturing,10750
1999-10-01,Private and trades education,1750
1999-10-01,Provincial and territorial public administration,27750
1999-10-01,Publishing industries,10500
1999-10-01,Rail transportation,7500
1999-10-01,Real estate rental and leasing,39000
1999-10-01,"Repair, personal and non-profit services",103000
1999-10-01,Ship and boat building,3500
1999-10-01,Social assistance,47000
1999-10-01,Support activities for agriculture and forestry,12000
1999-10-01,Support activities for mining and oil and gas extraction,4000
1999-10-01,Support activities for transportation,13000
1999-10-01,Telecommunications,25000
1999-10-01,"Transit, sightseeing, and pipeline transportation",1000
1999-10-01,Transportation equipment manufacturing (excluding shipbuilding),3250
1999-10-01,Truck transportation,27750
1999-10-01,Universities,15000
1999-10-01,Utilities,10500
1999-10-01,Warehousing and storage,5000
1999-10-01,Water transportation,7000
1999-10-01,Wholesale trade,84500
1999-10-01,Wood product manufacturing,45750
1999-11-01,Accommodation services,29250
1999-11-01,Air transportation,21250
1999-11-01,Ambulatory health care services,55250
1999-11-01,"Amusement, gambling and recreation industries",16750
1999-11-01,"Architectural, engineering and related services",23750
1999-11-01,"Broadcasting, data processing, and information",4750
1999-11-01,"Business, building and other support services",62250
1999-11-01,Community colleges,17500
1999-11-01,Computer systems design and related services,26000
1999-11-01,Construction,118500
1999-11-01,Elementary and secondary schools,85750
1999-11-01,Fabricated metal product manufacturing,9250
1999-11-01,Farms,14000
1999-11-01,Federal government public administration,31250
1999-11-01,Finance,37250
1999-11-01,"Fishing, hunting and trapping",4000
1999-11-01,Food services and drinking places,115750
1999-11-01,"Food, beverage and tobacco manufacturing",2000
1999-11-01,Forestry and logging,25750
1999-11-01,Health and personal care stores,12750
1999-11-01,Heritage institutions,3000
1999-11-01,Hospitals,67750
1999-11-01,Insurance carriers and related activities,27000
1999-11-01,"Legal, accounting, design, research, and advertising services",17750
1999-11-01,Local and Indigenous public administration,1250
1999-11-01,Machinery manufacturing,7750
1999-11-01,"Management, scientific and technical consulting services",16000
1999-11-01,Mining,7500
1999-11-01,Motion picture and sound recording industries,9000
1999-11-01,Motor vehicle and parts dealers,22000
1999-11-01,Nursing and residential care facilities,30500
1999-11-01,Oil and gas extraction,500
1999-11-01,Other manufacturing,7750
1999-11-01,Other retail trade (excluding cars and personal care) ,14750
1999-11-01,Paper manufacturing,20750
1999-11-01,"Performing arts, spectator sports and related industries",13750
1999-11-01,"Postal service, couriers and messengers",10000
1999-11-01,Primary metal manufacturing,9250
1999-11-01,Private and trades education,2000
1999-11-01,Provincial and territorial public administration,30000
1999-11-01,Publishing industries,11500
1999-11-01,Rail transportation,6750
1999-11-01,Real estate rental and leasing,41000
1999-11-01,"Repair, personal and non-profit services",104250
1999-11-01,Ship and boat building,3250
1999-11-01,Social assistance,45250
1999-11-01,Support activities for agriculture and forestry,12500
1999-11-01,Support activities for mining and oil and gas extraction,3750
1999-11-01,Support activities for transportation,13750
1999-11-01,Telecommunications,23250
1999-11-01,"Transit, sightseeing, and pipeline transportation",750
1999-11-01,Transportation equipment manufacturing (excluding shipbuilding),3500
1999-11-01,Truck transportation,29000
1999-11-01,Universities,15750
1999-11-01,Utilities,10000
1999-11-01,Warehousing and storage,4500
1999-11-01,Water transportation,7250
1999-11-01,Wholesale trade,82750
1999-11-01,Wood product manufacturing,47250
1999-12-01,Accommodation services,29500
1999-12-01,Air transportation,17000
1999-12-01,Ambulatory health care services,53750
1999-12-01,"Amusement, gambling and recreation industries",19750
1999-12-01,"Architectural, engineering and related services",26000
1999-12-01,"Broadcasting, data processing, and information",4250
1999-12-01,"Business, building and other support services",64750
1999-12-01,Community colleges,18500
1999-12-01,Computer systems design and related services,30500
1999-12-01,Construction,112750
1999-12-01,Elementary and secondary schools,90500
1999-12-01,Fabricated metal product manufacturing,10500
1999-12-01,Farms,11000
1999-12-01,Federal government public administration,35000
1999-12-01,Finance,36750
1999-12-01,"Fishing, hunting and trapping",2250
1999-12-01,Food services and drinking places,113000
1999-12-01,"Food, beverage and tobacco manufacturing",2000
1999-12-01,Forestry and logging,26750
1999-12-01,Health and personal care stores,12500
1999-12-01,Heritage institutions,2500
1999-12-01,Hospitals,70250
1999-12-01,Insurance carriers and related activities,28750
1999-12-01,"Legal, accounting, design, research, and advertising services",19000
1999-12-01,Local and Indigenous public administration,250
1999-12-01,Machinery manufacturing,9750
1999-12-01,"Management, scientific and technical consulting services",16000
1999-12-01,Mining,8500
1999-12-01,Motion picture and sound recording industries,9500
1999-12-01,Motor vehicle and parts dealers,22250
1999-12-01,Nursing and residential care facilities,30000
1999-12-01,Oil and gas extraction,1250
1999-12-01,Other manufacturing,9000
1999-12-01,Other retail trade (excluding cars and personal care) ,14000
1999-12-01,Paper manufacturing,22750
1999-12-01,"Performing arts, spectator sports and related industries",15500
1999-12-01,"Postal service, couriers and messengers",12000
1999-12-01,Primary metal manufacturing,9750
1999-12-01,Private and trades education,1500
1999-12-01,Provincial and territorial public administration,28500
1999-12-01,Publishing industries,8250
1999-12-01,Rail transportation,8750
1999-12-01,Real estate rental and leasing,37000
1999-12-01,"Repair, personal and non-profit services",99500
1999-12-01,Ship and boat building,6750
1999-12-01,Social assistance,46000
1999-12-01,Support activities for agriculture and forestry,12500
1999-12-01,Support activities for mining and oil and gas extraction,3750
1999-12-01,Support activities for transportation,16750
1999-12-01,Telecommunications,21000
1999-12-01,"Transit, sightseeing, and pipeline transportation",750
1999-12-01,Transportation equipment manufacturing (excluding shipbuilding),2000
1999-12-01,Truck transportation,29250
1999-12-01,Universities,13750
1999-12-01,Utilities,10250
1999-12-01,Warehousing and storage,4500
1999-12-01,Water transportation,6750
1999-12-01,Wholesale trade,74000
1999-12-01,Wood product manufacturing,44250
2000-01-01,Accommodation services,33750
2000-01-01,Air transportation,17500
2000-01-01,Ambulatory health care services,53000
2000-01-01,"Amusement, gambling and recreation industries",22250
2000-01-01,"Architectural, engineering and related services",26000
2000-01-01,"Broadcasting, data processing, and information",4750
2000-01-01,"Business, building and other support services",59250
2000-01-01,Community colleges,15000
2000-01-01,Computer systems design and related services,30500
